后者,hòuzhě,the latter,level6
而后,érhòu,after that/then,level6
后人,hòurén,later generation,level6
后来,hòulái,afterwards/later,level6
能,néng,"surname Neng
can/to be able to/might possibly/ability/(physics) energy",level6
可能,kěnéng,might (happen)/possible/probable/possibility/probability/maybe/perhaps/CL:個|个[ge4],level6
不能,bùnéng,cannot/must not/should not,level6
能力,nénglì,capability/ability/CL:個|个[ge4],level6
不可能,bùkěnéng,impossible/cannot/not able,level6
才能,cáinéng,talent/ability/capacity,level6
不能不,bùnéngbù,have to/cannot but,level6
元,yuán,"surname Yuan/the Yuan or Mongol dynasty (1279-1368)
currency unit (esp. Chinese yuan)/first/original/primary/fundamental/constituent/part/era (of a reign)/meta- (prefix)/(math.) argument/variable/(Tw) (geology) eon",level6
元旦,yuándàn,New Year's Day,level6
丁,dīng,"surname Ding
fourth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]/fourth in order/letter ""D"" or roman ""IV"" in list ""A, B, C"", or ""I, II, III"" etc/ancient Chinese compass point: 195°/butyl/cubes (of food)",level6
主要,zhǔyào,main/principal/major/primary,level6
为主,wéizhǔ,to rely mainly on/to attach most importance to,level6
主人,zhǔrén,master/host/owner/CL:個|个[ge4],level6
主力,zhǔlì,main force/main strength of an army,level6
自主,zìzhǔ,independent/to act for oneself/autonomous,level6
地主,dìzhǔ,landlord/landowner/host,level6
得主,dézhǔ,recipient (of an award)/winner (in a competition),level6
正,zhèng,"first month of the lunar year
straight/upright/proper/main/principal/to correct/to rectify/exactly/just (at that time)/right (in that place)/(math.) positive",level6
正在,zhèngzài,just at (that time)/right in (that place)/right in the middle of (doing sth),level6
正月,zhèngyuè,first month of the lunar year,level6
着,zhuó,"(chess) move/trick/all right!/(dialect) to add
to touch/to come in contact with/to feel/to be affected by/to catch fire/to burn/(coll.) to fall asleep/(after a verb) hitting the mark/succeeding in
aspect particle indicating action in progress
to wear (clothes)/to contact/to use/to apply",level6
着手,zhuóshǒu,to put one's hand to it/to start out on a task/to set out,level6
着火,zhuóhuǒ,to ignite/to burn,level6
山,shān,"surname Shan
mountain/hill/anything that resembles a mountain/CL:座[zuo4]/bundled straw in which silkworms spin cocoons/gable",level6
山地,shāndì,mountainous region/hilly area/hilly country,level6
山西,shānxī,"Shanxi province (Shansi) in north China between Hebei and Shaanxi, abbr. 晋 capital Taiyuan 太原",level6
上山,shàngshān,to go uphill/to spin cocoon (silkworms)/to pass away,level6
山水,shānshuǐ,"Sansui, Japanese company
water from a mountain/mountains and rivers/scenery/landscape",level6
下山,xiàshān,(of the sun) to set,level6
火山,huǒshān,volcano,level6
山羊,shānyáng,goat/(gymnastics) small-sized vaulting horse,level6
走,zǒu,"to walk/to go/to run/to move (of vehicle)/to visit/to leave/to go away/to die (euph.)/from/through/away (in compound verbs, such as 撤走[che4 zou3])/to change (shape, form, meaning)",level6
走出,zǒuchū,to leave (a room etc)/to go out through (a door etc),level6
出走,chūzǒu,to leave home/to go off/to run away,level6
行走,hángzǒu,to walk,level6
走去,zǒuqù,to walk over (to),level6
行为,hángwéi,action/conduct/behavior/activity,level6
行,háng,"row/line/commercial firm/line of business/profession/to rank (first, second etc) among one's siblings (by age)/(in data tables) row/(Tw) column
to walk/to go/to travel/a visit/temporary/makeshift/current/in circulation/to do/to perform/capable/competent/effective/all right/OK!/will do/behavior/conduct/Taiwan pr. [xing4] for the behavior-conduct sense",level6
可行,kěháng,feasible,level6
行事,hángshì,to execute/to handle/behavior/action/conduct,level6
行人,hángrén,pedestrian/traveler on foot/passer-by/official responsible for arranging audiences with the emperor,level6
言行,yánháng,words and actions/what one says and what one does,level6
人行道,rénhángdào,sidewalk,level6
车行,chēháng,"car-related business/car dealership/taxi company/(commercial) garage
traffic/to drive (i.e. travel in a vehicle)",level6
自行车,zìhángchē,bicycle/bike/CL:輛|辆[liang4],level6
成为,chéngwéi,to become/to turn into,level6
成立,chénglì,to establish/to set up/to be tenable/to hold water,level6
